ano,sigla_uf,rede,diretoria,id_municipio,id_escola,id_escola_sp,codigo_tipo_escola,prop_aprovados_anos_inciais_ef,prop_reprovados_anos_iniciais_ef,prop_abandono_anos_iniciais_ef,prop_aprovados_anos_finais_ef,prop_reprovados_anos_finais_ef,prop_abandono_anos_finais_ef,prop_aprovados_em,prop_reprovados_em,prop_abandono_em
2012,SP,,TABOAO DA SERRA,3552809.0,35010248,10248,,98.54,0.97,0.49,92.02,4.62,3.36,82.52,8.74,8.74
2012,SP,,LESTE 3,3550308.0,35902627,902627,,90.14,6.34,3.52,94.46,3.41,2.13,63.12,31.44,5.45
2012,SP,,CENTRO OESTE,3550308.0,35904173,904173,,93.29,6.41,0.29,84.06,15.65,0.29,49.1,39.77,11.13
2012,SP,,SUL 2,3550308.0,35005236,5236,,97.51,1.0,1.49,86.79,10.25,2.96,,14.63,6.5
2012,SP,,SUL 3,3550308.0,35906591,906591,,97.98,1.01,1.01,91.54,8.16,0.3,84.18,10.71,5.1
2012,SP,,SUZANO,3552502.0,35908484,908484,,95.91,2.27,1.82,92.03,4.09,3.88,83.13,3.31,13.55
2012,SP,,MAUA,3529401.0,35007808,7808,,96.13,3.57,0.3,91.6,8.07,0.34,74.78,24.78,0.44
2012,SP,,CENTRO,3550308.0,35000309,309,,95.83,0.83,3.33,93.96,3.36,2.68,82.12,,8.4
2012,SP,,SUL 2,3550308.0,35191224,191224,,93.54,3.69,2.77,84.36,10.58,5.06,74.49,13.44,12.07
2012,SP,,NORTE 1,3550308.0,35130321,130321,,94.07,1.48,4.44,94.2,5.22,0.58,67.92,18.03,14.05
2012,SP,,LESTE 2,3550308.0,35916754,916754,,95.5,2.7,1.8,93.72,5.35,0.93,88.83,9.74,1.43
2012,SP,,LESTE 3,3550308.0,35433482,433482,,88.52,1.79,9.69,80.84,10.13,9.03,57.07,35.0,7.93
2012,SP,,GUARULHOS NORTE,3518800.0,35921048,921048,,95.71,3.37,0.92,91.65,5.12,3.23,77.26,21.45,1.29
2012,SP,,NORTE 1,3550308.0,35130333,130333,,86.36,7.39,6.25,81.77,9.93,8.3,74.21,11.74,14.05
2012,SP,,LESTE 2,3550308.0,35906165,906165,,96.53,1.49,1.98,81.54,10.34,8.12,,16.17,4.49
2012,SP,,SUL 2,3550308.0,35046346,46346,,96.15,1.73,2.12,89.03,3.6,7.36,71.77,12.93,
2012,SP,,SUL 2,3550308.0,35438042,438042,,94.88,3.26,1.86,64.17,22.08,13.75,58.86,,
